algorithm,auc_pr,f1_at_1pct,f1_at_5pct,precision_at_1pct,recall_at_1pct,final_loss,rounds_to_converge,stage
fedavg,0.11147269266320767,0.07703909774984281,0.030769251615082246,0.054193945245049134,0.3099503188953296,-0.11147269266320767,50,stage2_balanced
scaffold,0.1086970583825587,0.08658277786507887,0.04422923647407852,0.07154667145492187,0.3263204873835057,-0.1086970583825587,50,stage2_balanced
fedprox,0.11775691242267716,0.09634487513969367,0.04436121306924919,0.08330363095545498,0.35504270341635635,-0.11775691242267716,50,stage2_balanced
ditto,0.0043622115941202196,0.0028025903909548863,0.0055899444793867225,0.0038350989314798987,0.00390848979841592,-0.0043622115941202196,50,stage2_balanced
