algorithm,auc_pr,f1_at_1pct,f1_at_5pct,precision_at_1pct,recall_at_1pct,final_loss,rounds_to_converge,stage
fedprox,0.13987702638503008,0.09565130854056222,0.04254707677465696,0.08399526369486697,0.34961285990148316,-0.13987702638503008,50,stage1_natural
fedavg,0.0786112994919124,0.06036926444918806,0.027183903060269816,0.042625891217630704,0.24337524175971822,-0.0786112994919124,50,stage1_natural
scaffold,0.08349439701960132,0.08563668624349194,0.044729143304708126,0.07821127541833359,0.3058320818422349,-0.08349439701960132,50,stage1_natural
ditto,0.006100537640607615,0.006522618104672519,0.010459155848590689,0.008236089289577003,0.014662294330864833,-0.006100537640607615,50,stage1_natural
