algorithm,auc_pr,f1_at_1pct,f1_at_5pct,precision_at_1pct,recall_at_1pct,final_loss,rounds_to_converge,stage
fedavg,0.23966720212222667,0.25573477660133614,0.2188635845850257,0.44192117721909396,0.20079098689922428,-0.23966720212222667,50,stage3_dirichlet
scaffold,0.18979183859607138,0.23328729915999913,0.20421152450325034,0.39780779460633314,0.18338190853534736,-0.18979183859607138,50,stage3_dirichlet
fedprox,0.18542348873250178,0.22173645548597165,0.19667430669896926,0.38171435725252156,0.17416259803517573,-0.18542348873250178,50,stage3_dirichlet
ditto,0.03145614310034498,0.020166768227984168,0.03025207234059839,0.03578325612227868,0.015852173993849476,-0.03145614310034498,50,stage3_dirichlet
